game_num,agent_name,action,action_label
6413,MCCFRAgent_1,4,all_in
6413,MCCFRAgent_2,0,fold
6414,MCCFRAgent_1,4,all_in
6414,MCCFRAgent_2,0,fold
6415,MCCFRAgent_1,3,raise_full_pot
6415,MCCFRAgent_2,0,fold
6416,MCCFRAgent_1,0,fold
6417,MCCFRAgent_1,4,all_in
6417,MCCFRAgent_2,0,fold
6418,MCCFRAgent_1,3,raise_full_pot
6418,MCCFRAgent_2,0,fold
6419,MCCFRAgent_1,0,fold
6420,MCCFRAgent_1,3,raise_full_pot
6420,MCCFRAgent_2,3,raise_full_pot
6420,MCCFRAgent_1,3,raise_full_pot
6420,MCCFRAgent_2,2,raise_half_pot
6420,MCCFRAgent_1,2,raise_half_pot
6420,MCCFRAgent_2,1,call
6420,MCCFRAgent_1,2,raise_half_pot
6420,MCCFRAgent_2,0,fold
6421,MCCFRAgent_1,4,all_in
6421,MCCFRAgent_2,1,call
6422,MCCFRAgent_1,0,fold
6423,MCCFRAgent_1,0,fold
6424,MCCFRAgent_1,4,all_in
6424,MCCFRAgent_2,0,fold
6425,MCCFRAgent_1,1,call
6425,MCCFRAgent_2,0,fold
6426,MCCFRAgent_1,4,all_in
