game_num,agent_name,chip_delta,won
358,HeuristicAgent,-96,False
358,MCTS_Agent,96,True
359,HeuristicAgent,0,False
359,MCTS_Agent,0,False
360,HeuristicAgent,94,True
360,MCTS_Agent,-94,False
361,HeuristicAgent,-36,False
361,MCTS_Agent,36,True
362,HeuristicAgent,65,True
362,MCTS_Agent,-65,False
363,HeuristicAgent,82,True
363,MCTS_Agent,-82,False
364,HeuristicAgent,82,True
364,MCTS_Agent,-82,False
365,HeuristicAgent,64,True
365,MCTS_Agent,-64,False
366,HeuristicAgent,-1,False
366,MCTS_Agent,1,True
367,HeuristicAgent,76,True
367,MCTS_Agent,-76,False
368,HeuristicAgent,-1,False
368,MCTS_Agent,1,True
369,HeuristicAgent,-12,False
369,MCTS_Agent,12,True
370,HeuristicAgent,65,True
370,MCTS_Agent,-65,False
371,HeuristicAgent,-1,False
371,MCTS_Agent,1,True
372,HeuristicAgent,-100,False
372,MCTS_Agent,100,True
373,HeuristicAgent,-1,False
373,MCTS_Agent,1,True
374,HeuristicAgent,-90,False
374,MCTS_Agent,90,True
375,HeuristicAgent,-94,False
375,MCTS_Agent,94,True
376,HeuristicAgent,-72,False
376,MCTS_Agent,72,True
377,HeuristicAgent,88,True
377,MCTS_Agent,-88,False
378,HeuristicAgent,-1,False
378,MCTS_Agent,1,True
379,HeuristicAgent,65,True
379,MCTS_Agent,-65,False
380,HeuristicAgent,-72,False
380,MCTS_Agent,72,True
381,HeuristicAgent,-1,False
381,MCTS_Agent,1,True
382,HeuristicAgent,100,True
382,MCTS_Agent,-100,False
383,HeuristicAgent,-72,False
383,MCTS_Agent,72,True
384,HeuristicAgent,-1,False
384,MCTS_Agent,1,True
385,HeuristicAgent,82,True
385,MCTS_Agent,-82,False
386,HeuristicAgent,60,True
386,MCTS_Agent,-60,False
387,HeuristicAgent,-1,False
387,MCTS_Agent,1,True
388,HeuristicAgent,80,True
388,MCTS_Agent,-80,False
389,HeuristicAgent,60,True
389,MCTS_Agent,-60,False
390,HeuristicAgent,-100,False
390,MCTS_Agent,100,True
391,HeuristicAgent,80,True
391,MCTS_Agent,-80,False
392,HeuristicAgent,80,True
392,MCTS_Agent,-80,False
393,HeuristicAgent,-48,False
393,MCTS_Agent,48,True
394,HeuristicAgent,97,True
394,MCTS_Agent,-97,False
395,HeuristicAgent,96,True
395,MCTS_Agent,-96,False
396,HeuristicAgent,-54,False
396,MCTS_Agent,54,True
397,HeuristicAgent,-1,False
397,MCTS_Agent,1,True
398,HeuristicAgent,-80,False
398,MCTS_Agent,80,True
399,HeuristicAgent,0,False
399,MCTS_Agent,0,False
400,HeuristicAgent,74,True
400,MCTS_Agent,-74,False
401,HeuristicAgent,-80,False
401,MCTS_Agent,80,True
402,HeuristicAgent,-72,False
402,MCTS_Agent,72,True
403,HeuristicAgent,-100,False
403,MCTS_Agent,100,True
404,HeuristicAgent,64,True
404,MCTS_Agent,-64,False
405,HeuristicAgent,91,True
405,MCTS_Agent,-91,False
406,HeuristicAgent,-100,False
406,MCTS_Agent,100,True
407,HeuristicAgent,-1,False
407,MCTS_Agent,1,True
408,HeuristicAgent,0,False
408,MCTS_Agent,0,False
409,HeuristicAgent,94,True
409,MCTS_Agent,-94,False
410,HeuristicAgent,92,True
410,MCTS_Agent,-92,False
411,HeuristicAgent,-1,False
411,MCTS_Agent,1,True
412,HeuristicAgent,-96,False
412,MCTS_Agent,96,True
413,HeuristicAgent,-100,False
413,MCTS_Agent,100,True
414,HeuristicAgent,64,True
414,MCTS_Agent,-64,False
415,HeuristicAgent,-1,False
415,MCTS_Agent,1,True
416,HeuristicAgent,0,False
416,MCTS_Agent,0,False
417,HeuristicAgent,-24,False
417,MCTS_Agent,24,True
418,HeuristicAgent,100,True
418,MCTS_Agent,-100,False
419,HeuristicAgent,100,True
419,MCTS_Agent,-100,False
420,HeuristicAgent,95,True
420,MCTS_Agent,-95,False
421,HeuristicAgent,100,True
421,MCTS_Agent,-100,False
422,HeuristicAgent,-36,False
422,MCTS_Agent,36,True
423,HeuristicAgent,100,True
423,MCTS_Agent,-100,False
424,HeuristicAgent,70,True
424,MCTS_Agent,-70,False
425,HeuristicAgent,-91,False
425,MCTS_Agent,91,True
426,HeuristicAgent,51,True
426,MCTS_Agent,-51,False
427,HeuristicAgent,-72,False
427,MCTS_Agent,72,True
428,HeuristicAgent,88,True
428,MCTS_Agent,-88,False
429,HeuristicAgent,-100,False
429,MCTS_Agent,100,True
430,HeuristicAgent,100,True
430,MCTS_Agent,-100,False
431,HeuristicAgent,48,True
431,MCTS_Agent,-48,False
432,HeuristicAgent,-70,False
432,MCTS_Agent,70,True
433,HeuristicAgent,-80,False
433,MCTS_Agent,80,True
434,HeuristicAgent,0,False
434,MCTS_Agent,0,False
435,HeuristicAgent,91,True
435,MCTS_Agent,-91,False
436,HeuristicAgent,83,True
436,MCTS_Agent,-83,False
437,HeuristicAgent,-48,False
437,MCTS_Agent,48,True
438,HeuristicAgent,100,True
438,MCTS_Agent,-100,False
439,HeuristicAgent,100,True
439,MCTS_Agent,-100,False
440,HeuristicAgent,-1,False
440,MCTS_Agent,1,True
441,HeuristicAgent,80,True
441,MCTS_Agent,-80,False
442,HeuristicAgent,70,True
442,MCTS_Agent,-70,False
443,HeuristicAgent,6,True
443,MCTS_Agent,-6,False
444,HeuristicAgent,100,True
444,MCTS_Agent,-100,False
445,HeuristicAgent,68,True
445,MCTS_Agent,-68,False
446,HeuristicAgent,80,True
446,MCTS_Agent,-80,False
447,HeuristicAgent,-91,False
447,MCTS_Agent,91,True
448,HeuristicAgent,-90,False
448,MCTS_Agent,90,True
449,HeuristicAgent,80,True
449,MCTS_Agent,-80,False
